R1	2014	01	07	17	00	4
R1	2014	01	07	17	05	0
R1	2014	01	07	17	10	21
R1	2014	01	07	17	15	6
R1	2014	01	07	17	20	0
R1	2014	01	07	17	25	4
R1	2014	01	07	17	30	0
R1	2014	01	07	17	35	0
R1	2014	01	07	17	40	0
R1	2014	01	07	17	45	15
R1	2014	01	07	17	50	4
R1	2014	01	07	17	55	0
R1	2014	01	07	18	00	17
R1	2014	01	07	18	05	12
R1	2014	01	07	18	10	1
R1	2014	01	07	18	15	0
R1	2014	01	07	18	20	0
R1	2014	01	07	18	25	0
R1	2014	01	07	18	30	0
R1	2014	01	07	18	35	0
R1	2014	01	07	18	40	0
R1	2014	01	07	18	45	0
R1	2014	01	07	18	50	0
R1	2014	01	07	18	55	0
R1	2014	01	07	19	00	0
R1	2014	01	07	19	05	0
R1	2014	01	07	19	10	0
R1	2014	01	07	19	15	0
R1	2014	01	07	19	20	0
R1	2014	01	07	19	25	0
R1	2014	01	07	19	30	0
R1	2014	01	07	19	35	0
R1	2014	01	07	19	40	0
R1	2014	01	07	19	45	0
R1	2014	01	07	19	50	0
R1	2014	01	07	19	55	0
R1	2014	01	07	20	00	0
R1	2014	01	07	20	05	0
R1	2014	01	07	20	10	0
R1	2014	01	07	20	15	0
R1	2014	01	07	20	20	0
R1	2014	01	07	20	25	0
R1	2014	01	07	20	30	0
R1	2014	01	07	20	35	0
R1	2014	01	07	20	40	0
R1	2014	01	07	20	45	0
R1	2014	01	07	20	50	0
R1	2014	01	07	20	55	0
R1	2014	01	07	21	00	0
R1	2014	01	07	21	05	0
R1	2014	01	07	21	10	0
R1	2014	01	07	21	15	0
R1	2014	01	07	21	20	0
R1	2014	01	07	21	25	0
R1	2014	01	07	21	30	0
R1	2014	01	07	21	35	0
R1	2014	01	07	21	40	0
R1	2014	01	07	21	45	0
R1	2014	01	07	21	50	0
R1	2014	01	07	21	55	0
R1	2014	01	07	22	00	0
R1	2014	01	07	22	05	0
R1	2014	01	07	22	10	0
R1	2014	01	07	22	15	0
R1	2014	01	07	22	20	0
R1	2014	01	07	22	25	0
R1	2014	01	07	22	30	0
R1	2014	01	07	22	35	0
R1	2014	01	07	22	40	0
R1	2014	01	07	22	45	0
R1	2014	01	07	22	50	0
R1	2014	01	07	22	55	0
R1	2014	01	07	23	00	0
R1	2014	01	07	23	05	0
R1	2014	01	07	23	10	0
